Constituency	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	x6	y6
Burton	846.5	735.983	834	714.332	809	714.332	796.5	735.983	809	757.634	834	757.634
Bury North	809	974.144	796.5	952.493	771.5	952.493	759	974.144	771.5	995.795	796.5	995.795
Bury South	771.5	692.681	759	671.03	734	671.03	721.5	692.681	734	714.332	759	714.332
Bury St Edmunds	771.5	735.983	759	714.332	734	714.332	721.5	735.983	734	757.634	759	757.634
Caerphilly	1221.5	1298.909	1209	1277.258	1184	1277.258	1171.5	1298.909	1184	1320.56	1209	1320.56
Caithness, Sutherland & Easter Ross	584	1407.164	571.5	1385.513	546.5	1385.513	534	1407.164	546.5	1428.815	571.5	1428.815
Calder Valley	584	108.104	571.5	86.453	546.5	86.453	534	108.104	546.5	129.755	571.5	129.755
Camberwell & Peckham	884	887.54	871.5	865.889	846.5	865.889	834	887.54	846.5	909.191	871.5	909.191
Camborne & Redruth	1109	1537.07	1096.5	1515.419	1071.5	1515.419	1059	1537.07	1071.5	1558.721	1096.5	1558.721
Cambridge	246.5	1861.835	234	1840.184	209	1840.184	196.5	1861.835	209	1883.486	234	1883.486
Cambridgeshire North East	1146.5	1298.909	1134	1277.258	1109	1277.258	1096.5	1298.909	1109	1320.56	1134	1320.56
Cambridgeshire North West	1146.5	1212.305	1134	1190.654	1109	1190.654	1096.5	1212.305	1109	1233.956	1134	1233.956
Cambridgeshire South	996.5	1212.305	984	1190.654	959	1190.654	946.5	1212.305	959	1233.956	984	1233.956
Cambridgeshire South East	1034	1233.956	1021.5	1212.305	996.5	1212.305	984	1233.956	996.5	1255.607	1021.5	1255.607
Cannock Chase	1184	1320.56	1171.5	1298.909	1146.5	1298.909	1134	1320.56	1146.5	1342.211	1171.5	1342.211
Canterbury	771.5	1082.399	759	1060.748	734	1060.748	721.5	1082.399	734	1104.05	759	1104.05
Cardiff Central	1409	1580.372	1396.5	1558.721	1371.5	1558.721	1359	1580.372	1371.5	1602.023	1396.5	1602.023
Cardiff North	546.5	1428.815	534	1407.164	509	1407.164	496.5	1428.815	509	1450.466	534	1450.466
