Constituency	x	order	y
Paisley & Renfrewshire South	496.5	4	389.567
Perth & North Perthshire	571.5	4	216.359
East Renfrewshire	534	4	411.218
Ross, Skye & Lochaber	534	4	151.406
Rutherglen & Hamilton West	609	4	497.822
Stirling	534	4	194.708
Aberdeen North	696.5	5	173.057
Aberdeen South	734	5	194.708
West Aberdeenshire & Kincardine	659	5	194.708
Airdrie & Shotts	621.5	5	389.567
Angus	696.5	5	216.359
Argyll & Bute	509	5	238.01
Ayr, Carrick & Cumnock	546.5	5	519.473
Central Ayrshire	509	5	497.822
North Ayrshire & Arran	509	5	454.52
Banff & Buchan	659	5	151.406
Berwickshire, Roxburgh & Selkirk	696.5	5	476.171
Caithness, Sutherland & Easter Ross	546.5	5	129.755
Coatbridge, Chryston & Bellshill	584	5	411.218
Cumbernauld, Kilsyth & Kirkintilloch East	584	5	281.312
Dumfries & Galloway	584	5	541.124
Dumfriesshire, Clydesdale & Tweeddale	659	5	541.124
East Dunbartonshire	546.5	5	302.963
West Dunbartonshire	546.5	5	259.661
Dundee East	659	5	238.01
Dundee West	696.5	5	259.661
Dunfermline & West Fife	659	5	281.312
East Kilbride, Strathaven & Lesmahagow	546.5	5	476.171
East Lothian	734	5	411.218
Edinburgh East	696.5	5	389.567
Edinburgh North & Leith	696.5	5	432.869
Edinburgh South	659	5	454.52
Edinburgh South West	659	5	411.218
Edinburgh West	659	5	367.916
Falkirk	621.5	5	302.963
North East Fife	734	5	281.312
Glasgow Central	546.5	5	389.567
Glasgow East	584	5	367.916
Glasgow North	546.5	5	346.265
Glasgow North East	584	5	324.614
Glasgow North West	509	5	324.614
Glasgow South	584	5	454.52
Glasgow South West	509	5	367.916
Glenrothes	696.5	5	302.963
Gordon	621.5	5	173.057
Inverclyde	471.5	5	346.265
Inverness, Nairn, Badenoch & Strathspey	584	5	194.708
Kilmarnock & Loudoun	584	5	497.822
Kirkcaldy & Cowdenbeath	659	5	324.614
Lanark & Hamilton East	621.5	5	476.171
Linlithgow & East Falkirk	621.5	5	346.265
Livingston	659	5	497.822
Midlothian	696.5	5	519.473
Moray	621.5	5	216.359
Motherwell & Wishaw	621.5	5	432.869
Na h-Eileanan an Iar	471.5	5	173.057
Ochil & South Perthshire	621.5	5	259.661
Orkney & Shetland	659	5	64.802
Paisley & Renfrewshire North	509	5	281.312
Paisley & Renfrewshire South	509	5	411.218
Perth & North Perthshire	584	5	238.01
East Renfrewshire	546.5	5	432.869
Ross, Skye & Lochaber	546.5	5	173.057
Rutherglen & Hamilton West	621.5	5	519.473
Stirling	546.5	5	216.359
Aberdeen North	721.5	6	173.057
Aberdeen South	759	6	194.708
West Aberdeenshire & Kincardine	684	6	194.708
Airdrie & Shotts	646.5	6	389.567
Angus	721.5	6	216.359
Argyll & Bute	534	6	238.01
Ayr, Carrick & Cumnock	571.5	6	519.473
Central Ayrshire	534	6	497.822
North Ayrshire & Arran	534	6	454.52
Banff & Buchan	684	6	151.406
Berwickshire, Roxburgh & Selkirk	721.5	6	476.171
Caithness, Sutherland & Easter Ross	571.5	6	129.755
Coatbridge, Chryston & Bellshill	609	6	411.218
Cumbernauld, Kilsyth & Kirkintilloch East	609	6	281.312
Dumfries & Galloway	609	6	541.124
Dumfriesshire, Clydesdale & Tweeddale	684	6	541.124
East Dunbartonshire	571.5	6	302.963
West Dunbartonshire	571.5	6	259.661
Dundee East	684	6	238.01
Dundee West	721.5	6	259.661
Dunfermline & West Fife	684	6	281.312
